,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
40,walderhennele-filet, wälderhennele filet,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss.","Karl Heinz Karu, Sulzberg",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,walderhennele-flugel, wälderhennele flügel,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss.","Karl Heinz Karu, Sulzberg",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,walderhennele-flugel-mariniert, wälderhennele flügel mariniert,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss.","Karl Heinz Karu, Sulzberg",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,walderhennele-ganz, wälderhennele ganz,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss.","Karl Heinz Karu, Sulzberg",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,walderhennele-keule, wälderhennele keule,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss.","Karl Heinz Karu, Sulzberg",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,bio-pute-schnitzel, bio pute schnitzel,"Sutterlüty's Bio Puten werden bei verschiedenen Partnern aus Vorarlberg streng nach Bio-Kriterien aufgezogen. Koordiniert wird die Aufzucht von Jakob Behmann in St. Gerold. Auf einem großen Freigelände können die Puten picken und scharren wie es ihnen gefällt. In dem artgerechten, mit Stroh und Sägespänen eingestreuten Stall finden die Tiere danach immer ein gemütliches Plätzchen, um sich auszuruhen. Gefüttert werden Sutterlüty's Bio Puten nur mit kontrolliert biologischem Futter. Dank der sorgfältigen Pflege während der Aufzucht fehlt es den Tieren an nichts.","Propsteihof Pfister, St. Gerold",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,bio-pute-geschnetzeltes, bio pute geschnetzeltes,"Sutterlüty's Bio Puten werden bei verschiedenen Partnern aus Vorarlberg streng nach Bio-Kriterien aufgezogen. Koordiniert wird die Aufzucht von Jakob Behmann in St. Gerold. Auf einem großen Freigelände können die Puten picken und scharren wie es ihnen gefällt. In dem artgerechten, mit Stroh und Sägespänen eingestreuten Stall finden die Tiere danach immer ein gemütliches Plätzchen, um sich auszuruhen. Gefüttert werden Sutterlüty's Bio Puten nur mit kontrolliert biologischem Futter. Dank der sorgfältigen Pflege während der Aufzucht fehlt es den Tieren an nichts.","Propsteihof Pfister, St. Gerold",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,bio-pute-flugerl, bio pute flügerl,"Sutterlüty's Bio Puten werden bei verschiedenen Partnern aus Vorarlberg streng nach Bio-Kriterien aufgezogen. Koordiniert wird die Aufzucht von Jakob Behmann in St. Gerold. Auf einem großen Freigelände können die Puten picken und scharren wie es ihnen gefällt. In dem artgerechten, mit Stroh und Sägespänen eingestreuten Stall finden die Tiere danach immer ein gemütliches Plätzchen, um sich auszuruhen. Gefüttert werden Sutterlüty's Bio Puten nur mit kontrolliert biologischem Futter. Dank der sorgfältigen Pflege während der Aufzucht fehlt es den Tieren an nichts.","Propsteihof Pfister, St. Gerold",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,bio-pute-keule, bio pute keule,"Sutterlüty's Bio Puten werden bei verschiedenen Partnern aus Vorarlberg streng nach Bio-Kriterien aufgezogen. Koordiniert wird die Aufzucht von Jakob Behmann in St. Gerold. Auf einem großen Freigelände können die Puten picken und scharren wie es ihnen gefällt. In dem artgerechten, mit Stroh und Sägespänen eingestreuten Stall finden die Tiere danach immer ein gemütliches Plätzchen, um sich auszuruhen. Gefüttert werden Sutterlüty's Bio Puten nur mit kontrolliert biologischem Futter. Dank der sorgfältigen Pflege während der Aufzucht fehlt es den Tieren an nichts.","Propsteihof Pfister, St. Gerold",Geflügel,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,kalbsgulasch, kalbsgulasch,"Für Sutterlüty‘s Gulasch verwendet Wolfgang Sohm in seiner kleinen Dornbirner Spezialitäten-Manufaktur 
nur die besten Zutaten: frisches Ländle-Kalbfleisch und feinste 
Gewürze eingekocht nach einem alten Familienrezept.",Söhmsens Manufaktur Dornbirn,Kalb,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,kalbsgulasch, kalbsgulasch,"Sutterlüty’s Ländle Kälber sind echte Vorarlberger: Sie werden im Ländle geboren und wachsen auf kleinen Bauernhöfen wie jenem von Hansjok und Katharina Lang im Bregenzerwald auf. Das Tierwohl steht hier an erster Stelle: Die Kälber, die man bei Familie Lang an einer Hand abzählen kann, leben in einem hellen, sauberen Stall. Mehrmals täglich werden sie mit Milch und etwas Heu gefüttert und gut versorgt. 
Die Produktsicherheit wird durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit gewährleistet. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Kalb beste Fleischqualität aus der Region und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Kalb,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,kalbsruckensteak, kalbsrückensteak,"Sutterlüty’s Ländle Kälber sind echte Vorarlberger: Sie werden im Ländle geboren und wachsen auf kleinen Bauernhöfen wie jenem von Hansjok und Katharina Lang im Bregenzerwald auf. Das Tierwohl steht hier an erster Stelle: Die Kälber, die man bei Familie Lang an einer Hand abzählen kann, leben in einem hellen, sauberen Stall. Mehrmals täglich werden sie mit Milch und etwas Heu gefüttert und gut versorgt. 
Die Produktsicherheit wird durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit gewährleistet. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Kalb beste Fleischqualität aus der Region und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Kalb,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,kalbsschnitzel, kalbsschnitzel,"Sutterlüty’s Ländle Kälber sind echte Vorarlberger: Sie werden im Ländle geboren und wachsen auf kleinen Bauernhöfen wie jenem von Hansjok und Katharina Lang im Bregenzerwald auf. Das Tierwohl steht hier an erster Stelle: Die Kälber, die man bei Familie Lang an einer Hand abzählen kann, leben in einem hellen, sauberen Stall. Mehrmals täglich werden sie mit Milch und etwas Heu gefüttert und gut versorgt. 
Die Produktsicherheit wird durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit gewährleistet. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Kalb beste Fleischqualität aus der Region und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Kalb,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,landle-kalbsschnitzel, ländle kalbsschnitzel,"Sutterlüty’s Ländle Kälber sind echte Vorarlberger: Sie werden im Ländle geboren und wachsen auf kleinen Bauernhöfen wie jenem von Hansjok und Katharina Lang im Bregenzerwald auf. Das Tierwohl steht hier an erster Stelle: Die Kälber, die man bei Familie Lang an einer Hand abzählen kann, leben in einem hellen, sauberen Stall. Mehrmals täglich werden sie mit Milch und etwas Heu gefüttert und gut versorgt. 
Die Produktsicherheit wird durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit gewährleistet. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Kalb beste Fleischqualität aus der Region und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Kalb,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,lammragout, lammragout,"Sutterlüty’s Ländle Lämmer sind echte Vorarlberger: Sie werden hier geboren und wachsen auf rund 40 kleinen Bauernhöfen, großteils im Walgau und im Großen Walsertal, auf. Einer davon ist jener von Jakob Behmann in St. Gerold. Wie für alle Sutterlüty’s Bauern hat auch für ihn das Tierwohl höchsten Stellenwert: Seine Lämmer genießen eine ausgewogene, gentechnikfreie Fütterung und viel Auslauf – im Sommer sogar auf Steilhängen bis 2.000 m hinauf. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Lamm beste Fleischqualität aus der Region 
und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Lamm & Ziege,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,lammruckensteak, lammrückensteak,"Sutterlüty’s Ländle Lämmer sind echte Vorarlberger: Sie werden hier geboren und wachsen auf rund 40 kleinen Bauernhöfen, großteils im Walgau und im Großen Walsertal, auf. Einer davon ist jener von Jakob Behmann in St. Gerold. Wie für alle Sutterlüty’s Bauern hat auch für ihn das Tierwohl höchsten Stellenwert: Seine Lämmer genießen eine ausgewogene, gentechnikfreie Fütterung und viel Auslauf – im Sommer sogar auf Steilhängen bis 2.000 m hinauf. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Lamm beste Fleischqualität aus der Region 
und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Lamm & Ziege,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,lammschnitzel, lammschnitzel,"Sutterlüty’s Ländle Lämmer sind echte Vorarlberger: Sie werden hier geboren und wachsen auf rund 40 kleinen Bauernhöfen, großteils im Walgau und im Großen Walsertal, auf. Einer davon ist jener von Jakob Behmann in St. Gerold. Wie für alle Sutterlüty’s Bauern hat auch für ihn das Tierwohl höchsten Stellenwert: Seine Lämmer genießen eine ausgewogene, gentechnikfreie Fütterung und viel Auslauf – im Sommer sogar auf Steilhängen bis 2.000 m hinauf. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Lamm beste Fleischqualität aus der Region 
und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Lamm & Ziege,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,lammvorderviertel, lammvorderviertel,"Sutterlüty’s Ländle Lämmer sind echte Vorarlberger: Sie werden hier geboren und wachsen auf rund 40 kleinen Bauernhöfen, großteils im Walgau und im Großen Walsertal, auf. Einer davon ist jener von Jakob Behmann in St. Gerold. Wie für alle Sutterlüty’s Bauern hat auch für ihn das Tierwohl höchsten Stellenwert: Seine Lämmer genießen eine ausgewogene, gentechnikfreie Fütterung und viel Auslauf – im Sommer sogar auf Steilhängen bis 2.000 m hinauf. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Lamm beste Fleischqualität aus der Region 
und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Lamm & Ziege,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,bio-rind-ragout, bio rind ragout,"Sutterlüty’s Ländle Bio-Rinder sind echte Vorarlberger: Sie werden hier geboren und wachsen unter strengen Kontrollen auf kleinen Vorarlberger Bio-Bauernhöfen wie jenem von Reinhold Kräutler in Koblach auf. Hier genießen die Rinder eine tierwohlgerechte Haltung mit mindestens 200 Tagen freiem Auslauf. Im Sommer grasen die Tiere auf saftigen Weiden. Darüber hinaus werden sie nur mit ökologischem, gentechnikfreiem Futter gefüttert. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Bio-Rind beste Fleischqualität aus der Region und b’sundrig zarten Genuss.","Traditionsmetzgerei Broger, Bizau",Rind,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,bio-rind-rib-eye-steak, bio rind rib-eye-steak,"Sutterlüty’s Ländle Bio-Rinder sind echte Vorarlberger: Sie werden hier geboren und wachsen unter strengen Kontrollen auf kleinen Vorarlberger Bio-Bauernhöfen wie jenem von Reinhold Kräutler in Koblach auf. Hier genießen die Rinder eine tierwohlgerechte Haltung mit mindestens 200 Tagen freiem Auslauf. Im Sommer grasen die Tiere auf saftigen Weiden. Darüber hinaus werden sie nur mit ökologischem, gentechnikfreiem Futter gefüttert. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Bio-Rind beste Fleischqualität aus der Region und b’sundrig zarten Genuss.","Traditionsmetzgerei Broger, Bizau",Rind,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,bio-rind-schnitzel, bio rind schnitzel,"Sutterlüty’s Ländle Bio-Rinder sind echte Vorarlberger: Sie werden hier geboren und wachsen unter strengen Kontrollen auf kleinen Vorarlberger Bio-Bauernhöfen wie jenem von Reinhold Kräutler in Koblach auf. Hier genießen die Rinder eine tierwohlgerechte Haltung mit mindestens 200 Tagen freiem Auslauf. Im Sommer grasen die Tiere auf saftigen Weiden. Darüber hinaus werden sie nur mit ökologischem, gentechnikfreiem Futter gefüttert. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Bio-Rind beste Fleischqualität aus der Region und b’sundrig zarten Genuss.","Traditionsmetzgerei Broger, Bizau",Rind,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,rump-steak, rump steak,"Sutterlüty’s Ländle Bio-Rinder sind echte Vorarlberger: Sie werden hier geboren und wachsen unter strengen Kontrollen auf kleinen Vorarlberger Bio-Bauernhöfen wie jenem von Reinhold Kräutler in Koblach auf. Hier genießen die Rinder eine tierwohlgerechte Haltung mit mindestens 200 Tagen freiem Auslauf. Im Sommer grasen die Tiere auf saftigen Weiden. Darüber hinaus werden sie nur mit ökologischem, gentechnikfreiem Futter gefüttert. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Bio-Rind beste Fleischqualität aus der Region und b’sundrig zarten Genuss.","Traditionsmetzgerei Broger, Bizau",Rind,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,schweinekarreesteak, schweinekarreesteak,"Für die kleinen Bauernhöfe, auf denen Sutterlüty’s Ländle Schweine aufwachsen, steht das Tierwohl an oberster Stelle: großzügige Ställe mit Tageslicht, eingestreuten Liegeflächen und tierfreundlichen Wühl- und Beschäftigungsmöglichkeiten sind ebenso selbstverständlich wie gentechnikfreies Futter. Einer dieser Höfe ist der von Andreas Hartmann in Feldkirch. Dort freuen sich die Schweine zudem über Auslauf ins Freie. Die Ferkel werden in Vorarlberg oder in Österreich geboren. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Schwein beste Fleischqualität und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Schwein,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,schweineragout, schweineragout,"Für die kleinen Bauernhöfe, auf denen Sutterlüty’s Ländle Schweine aufwachsen, steht das Tierwohl an oberster Stelle: großzügige Ställe mit Tageslicht, eingestreuten Liegeflächen und tierfreundlichen Wühl- und Beschäftigungsmöglichkeiten sind ebenso selbstverständlich wie gentechnikfreies Futter. Einer dieser Höfe ist der von Andreas Hartmann in Feldkirch. Dort freuen sich die Schweine zudem über Auslauf ins Freie. Die Ferkel werden in Vorarlberg oder in Österreich geboren. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Schwein beste Fleischqualität und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Schwein,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,schweineschnitzel, schweineschnitzel,"Für die kleinen Bauernhöfe, auf denen Sutterlüty’s Ländle Schweine aufwachsen, steht das Tierwohl an oberster Stelle: großzügige Ställe mit Tageslicht, eingestreuten Liegeflächen und tierfreundlichen Wühl- und Beschäftigungsmöglichkeiten sind ebenso selbstverständlich wie gentechnikfreies Futter. Einer dieser Höfe ist der von Andreas Hartmann in Feldkirch. Dort freuen sich die Schweine zudem über Auslauf ins Freie. Die Ferkel werden in Vorarlberg oder in Österreich geboren. Das Ländle Gütesiegel garantiert höchste Produktsicherheit durch laufende Qualitätskontrollen und eine lückenlose Rückverfolgbarkeit. Geschlachtet und fachmännisch zerlegt vom Vorarlberger Metzger garantiert jedes Stück vom Sutterlüty’s Ländle Schwein beste Fleischqualität und b’sundrig feinen Genuss.","Traditionsmetzgerei Broger, Bizau",Schwein,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,berglammbeisser, berglammbeisser,"Sutterlüty‘s Berglamm-Beißer sind eine würzige Spezialität, die das Beste aus Vorarlberg vereinen – beste Zutaten, regionale Zusammenarbeit und handwerkliches Können. Das hochwertige Fleisch stammt von 50 Vorarlberger Bauernhöfen. Ihre Herden grasen über dem Großen Walsertal und dem Walgau die Steilhänge bis 2.000 m hinauf. Die Bizauer Traditions-Metzgerei Broger veredelt das 100 % Ländle Lammfleisch in traditioneller Handarbeit. Eine überlieferte Würzmischung, leichtes Räuchern über Buchenholz und anschließendes Lufttrocknen sind ihr Beitrag für das b'sundrig feine Aroma.","Traditionsmetzgerei Broger, Bizau",Hartwurst,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,bio-alpwurzen, bio alpwurzen,Die Bizauer Traditions-Metzgerei Broger stellt die Sutterlüty‘s Bio-Alpwurzen noch nach altem Familienrezept her. Aus bestem heimischem Fleisch vom Vorarlberger Bio-Weiderind. Gewürzt werden die Bio-Alpwurzen mit einer traditionellen Würzmischung aus natürlichen Kräutern und Gewürzen. Ein b‘sundriger Genuss auf jedem Jausenbrett! ,"Traditionsmetzgerei Broger, Bizau",Hartwurst,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,bio-kaminwurzen, bio kaminwurzen,Die Bizauer Traditions-Metzgerei Broger stellt Sutterlüty’s Bio-Kaminwurzen noch nach altem Familienrezept her. Aus bestem heimischem Fleisch vom Vorarlberger Bio-Weiderind. Gewürzt werden die Bio-Kaminwurzen mit einer traditionellen Würzmischung aus natürlichen Kräutern und Gewürzen. Ein b’sundriger Genuss auf jedem Jausenbrett!,"Traditionsmetzgerei Broger, Bizau",Hartwurst,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,bio-landjager, bio landjäger,In der Traditions-Metzgerei Broger in Bizau versteht man sein Handwerk noch. Dort werden Sutterlüty's Bio-Landjäger nach altbewährtem Rezept hergestellt. Aus bestem heimischem Fleisch vom Vorarlberger Bio-Weiderind. Verfeinert werden die Landjäger mit reinen Naturgewürzen. Und das Räuchern über echtem Buchenholzrauch sorgt für das b'sundrig feine Aroma.,"Traditionsmetzgerei Broger, Bizau",Hartwurst,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,bio-salami, bio salami,Sutterlüty‘s Bio-Salami wird in der Bizauer Traditions-Metzgerei Broger noch vom Meistermetzger persönlich mit viel handwerklichem Geschick hergestellt. Aus bestem heimischem Fleisch vom Vorarlberger Bio-Weiderind. Verfeinert wird die Ländle-Salami mit reinen Naturgewürzen. Ihr b‘sundriges Aroma entfaltet sie übrigens hauchdünn geschnitten am besten!,"Traditionsmetzgerei Broger, Bizau",Hartwurst,,FALSE,Title,Default Title,,,,,,0,,,,manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
